EPI_ISL_416362|hCoV-19/Shanghai/SH0054/2020|2020-02-02|Shanghai	2020-02-02
EPI_ISL_417805|hCoV-19/Iceland/158/2020|2020-03-13|Iceland	2020-03-13
EPI_ISL_418548|hCoV-19/Ireland/D-NVRL-21145/2020|2020-03-06|Ireland	2020-03-06
EPI_ISL_419946|hCoV-19/Australia/VIC251/2020|2020-03-21|Australia	2020-03-21
EPI_ISL_420323|hCoV-19/Belgium/BJ-030767/2020|2020-03-07|Belgium	2020-03-07
EPI_ISL_424631|hCoV-19/Belgium/ULG-10072/2020|2020-04-03|Belgium	2020-04-03
EPI_ISL_430799|hCoV-19/Argentina/PAIS-A0007/2020|2020-03-30|Argentina	2020-03-30
EPI_ISL_437736|hCoV-19/SaudiArabia/KAUST-Madinah252/2020|2020-03-30|SaudiArabia	2020-03-30
EPI_ISL_444461|hCoV-19/India/GJ-GBRC30/2020|2020-04-29|India	2020-04-29
EPI_ISL_454973|hCoV-19/Wuhan/HB-WH5-229/2020|2020-02-22|Wuhan	2020-02-22
EPI_ISL_480133|hCoV-19/Japan/PG-0473/2020|2020-04-01|Japan	2020-04-01
EPI_ISL_485849|hCoV-19/USA/VA-DCLS-0548/2020|2020-03-12|USA	2020-03-12
EPI_ISL_524696|hCoV-19/England/LOND-1261590/2020|2020-03-29|England	2020-03-29
EPI_ISL_538962|hCoV-19/England/LEED-2A9D6A/2020|2020-03-28|England	2020-03-28
EPI_ISL_545344|hCoV-19/USA/TX-HMH-2506/2020|2020-05-12|USA	2020-05-12
EPI_ISL_547850|hCoV-19/USA/WI-GMF-20119/2020|2020-09-14|USA	2020-09-14
EPI_ISL_568354|hCoV-19/Scotland/QEUH-9983B0/2020|2020-08-26|Scotland	2020-08-26
EPI_ISL_571555|hCoV-19/USA/OK-QDX-772/2020|2020-03-18|USA	2020-03-18
EPI_ISL_579252|hCoV-19/NewZealand/20VR2497/2020|2020|NewZealand	2020
EPI_ISL_608316|hCoV-19/England/ALDP-A6D1F5/2020|2020-10-14|England	2020-10-14
EPI_ISL_628698|hCoV-19/England/QEUH-A64431/2020|2020-10-12|England	2020-10-12
EPI_ISL_703022|hCoV-19/England/ALDP-BB8F3C/2020|2020-11-18|England	2020-11-18
EPI_ISL_733801|hCoV-19/England/MILK-C2F931/2020|2020-12-07|England	2020-12-07
EPI_ISL_831069|hCoV-19/Spain/MD-IBV-99013183/2020|2020-04-21|Spain	2020-04-21
EPI_ISL_933605|hCoV-19/Canada/ON-SC0058/2020|2020-03-19|Canada	2020-03-19
EPI_ISL_417574|hCoV-19/Iceland/246/2020|2020-03-17|Iceland	2020-03-17
EPI_ISL_426418|hCoV-19/USA/GA_2147/2020|2020-03|USA	2020-03
EPI_ISL_428328|hCoV-19/USA/WI-UW-232/2020|2020-03-27|USA	2020-03-27
EPI_ISL_434960|hCoV-19/USA/TX-HMH0369/2020|2020-03-24|USA	2020-03-24
EPI_ISL_452360|hCoV-19/Beijing/DT-WH01/2020|2020-02-01|Beijing	2020-02-01
EPI_ISL_469048|hCoV-19/India/GJ-GBRC202/2020|2020-06-05|India	2020-06-05
EPI_ISL_482326|hCoV-19/USA/OR-PROV-044/2020|2020-03-20|USA	2020-03-20
EPI_ISL_539778|hCoV-19/CzechRepublic/NRL-5886-1/2020|2020-04-08|CzechRepublic	2020-04-08
EPI_ISL_598895|hCoV-19/Scotland/QEUH-A1E515/2020|2020-10-01|Scotland	2020-10-01
EPI_ISL_804400|hCoV-19/Netherlands/NH-RIVM-10203/2020|2020-04-10|Netherlands	2020-04-10
EPI_ISL_417667|hCoV-19/Iceland/338/2020|2020-03-15|Iceland	2020-03-15
EPI_ISL_465039|hCoV-19/England/20119029504/2020|2020-03-12|England	2020-03-12
EPI_ISL_475091|hCoV-19/Sweden/20-50342/2020|2020-03-13|Sweden	2020-03-13
EPI_ISL_523932|hCoV-19/Germany/NW-HHU-61/2020|2020-03-09|Germany	2020-03-09
EPI_ISL_524490|hCoV-19/England/BRIS-133892/2020|2020-08-06|England	2020-08-06
EPI_ISL_540064|hCoV-19/England/QEUH-9901BE/2020|2020-08-25|England	2020-08-25
EPI_ISL_579383|hCoV-19/NewZealand/20VR3011/2020|2020|NewZealand	2020
EPI_ISL_589386|hCoV-19/England/ALDP-9ED0A6/2020|2020-05-06|England	2020-05-06
EPI_ISL_630690|hCoV-19/England/ALDP-A6796C/2020|2020-10-12|England	2020-10-12
EPI_ISL_644280|hCoV-19/Ireland/WW-NVRL-AIIDV0277v1/2020|2020-04-28|Ireland	2020-04-28
EPI_ISL_648179|hCoV-19/Sweden/20-53168/2020|2020-10-19|Sweden	2020-10-19
EPI_ISL_654883|hCoV-19/Vietnam/PIHCM-503/2020|2020-04-23|Vietnam	2020-04-23
EPI_ISL_781954|hCoV-19/England/ALDP-CF159E/2020|2020-12-18|England	2020-12-18
EPI_ISL_831618|hCoV-19/USA/WI-UW-2834/2021|2021-01-04|USA	2021-01-04
EPI_ISL_882643|hCoV-19/Azerbaijan/Aghayev-07/2021|2021-01-05|Azerbaijan	2021-01-05
EPI_ISL_941353|hCoV-19/Portugal/PT2301/2021|2021-01-13|Portugal	2021-01-13
EPI_ISL_425177|hCoV-19/Canada/ON_ON-VIDO-01-2/2020|2020-01-23|Canada	2020-01-23
EPI_ISL_437320|hCoV-19/Turkey/HSGM-1492/2020|2020-03-19|Turkey	2020-03-19
EPI_ISL_457730|hCoV-19/Taiwan/TSGH-36/2020|2020-02-06|Taiwan	2020-02-06
EPI_ISL_513167|hCoV-19/SaudiArabia/KAUST-MADINAH521/2020|2020-04-06|SaudiArabia	2020-04-06
EPI_ISL_547518|hCoV-19/Netherlands/UT-RIVM-10060/2020|2020-03-30|Netherlands	2020-03-30
EPI_ISL_578254|hCoV-19/Ireland/D-NVRL-20ILR05740/2020|2020-08|Ireland	2020-08
EPI_ISL_779286|hCoV-19/Pakistan/JRCGR-KHI16/2020|2020-08-10|Pakistan	2020-08-10
EPI_ISL_792137|hCoV-19/Argentina/PAIS-A0048/2020|2020-04-30|Argentina	2020-04-30
EPI_ISL_794217|hCoV-19/USA/NY-Wadsworth-21000316-01/2020|2020-12-26|USA	2020-12-26
EPI_ISL_801307|hCoV-19/England/QEUH-B7FC3A/2020|2020-11-14|England	2020-11-14
EPI_ISL_861879|hCoV-19/Brazil/SP-HIAE-ID14/2020|2020-03-20|Brazil	2020-03-20
EPI_ISL_419949|hCoV-19/Australia/VIC254/2020|2020-03-21|Australia	2020-03-21
EPI_ISL_458087|hCoV-19/India/GJ-GBRC132/2020|2020-05-24|India	2020-05-24
EPI_ISL_500484|hCoV-19/Brazil/PE-IAM84/2020|2020-04-08|Brazil	2020-04-08
EPI_ISL_608302|hCoV-19/England/ALDP-A6CE95/2020|2020-10-15|England	2020-10-15
EPI_ISL_666166|hCoV-19/Wales/PHWC-48AE88/2020|2020-10-31|Wales	2020-10-31
EPI_ISL_698526|hCoV-19/UnitedArabEmirates/0351/2020|2020-05-15|UnitedArabEmirates	2020-05-15
EPI_ISL_728194|hCoV-19/Singapore/1458/2020|2020-12-06|Singapore	2020-12-06
EPI_ISL_801264|hCoV-19/England/QEUH-B7FCFE/2020|2020-11-14|England	2020-11-14
EPI_ISL_804417|hCoV-19/Netherlands/NH-RIVM-10242/2020|2020-03-20|Netherlands	2020-03-20
EPI_ISL_806210|hCoV-19/Canada/AB-94358/2020|2020-04-06|Canada	2020-04-06
EPI_ISL_871975|hCoV-19/Spain/EX-ISCIII-201259/2020|2020-02-29|Spain	2020-02-29
EPI_ISL_888980|hCoV-19/Indonesia/JB-EIJK98/2020|2020-12-07|Indonesia	2020-12-07
EPI_ISL_538383|hCoV-19/Canada/ON-OICR-SLB2866/2020|2020-04-10|Canada	2020-04-10
EPI_ISL_603832|hCoV-19/USA/MA-QDX-1496/2020|2020-03-16|USA	2020-03-16
EPI_ISL_755688|hCoV-19/Canada/ON-S1974/2020|2020-11-24|Canada	2020-11-24
EPI_ISL_852742|hCoV-19/Germany/BW-FR0161/2020|2020-03-08|Germany	2020-03-08
EPI_ISL_856682|hCoV-19/Italy/CAM-COTUGNO-54453/2020|2020-09-16|Italy	2020-09-16
EPI_ISL_981813|hCoV-19/Switzerland/GE-33166841/2021|2021-01-27|Switzerland	2021-01-27
EPI_ISL_483636|hCoV-19/Bangladesh/BCSIR-NILMRC-196/2020|2020-06-20|Bangladesh	2020-06-20
EPI_ISL_514626|hCoV-19/USA/MN-MDH-1407/2020|2020-06-26|USA	2020-06-26
EPI_ISL_633695|hCoV-19/England/QEUH-AD07A0/2020|2020-10-23|England	2020-10-23
EPI_ISL_698524|hCoV-19/UnitedArabEmirates/0349/2020|2020-05-15|UnitedArabEmirates	2020-05-15
EPI_ISL_736745|hCoV-19/England/QEUH-C4BD24/2020|2020-12-14|England	2020-12-14
EPI_ISL_454767|hCoV-19/Netherlands/Utrecht_10018/2020|2020-03-23|Netherlands	2020-03-23
EPI_ISL_512993|hCoV-19/SaudiArabia/KAUST-JEDDAH743/2020|2020-04-01|SaudiArabia	2020-04-01
EPI_ISL_596236|hCoV-19/Russia/SPE-RII-34613S/2020|2020-09-17|Russia	2020-09-17
EPI_ISL_608408|hCoV-19/England/CAMC-A6511B/2020|2020-10-11|England	2020-10-11
EPI_ISL_639928|hCoV-19/Russia/OMS-ORINFI-5311S/2020|2020-05-05|Russia	2020-05-05
EPI_ISL_661567|hCoV-19/England/QEUH-B68223/2020|2020-11-11|England	2020-11-11
EPI_ISL_673812|hCoV-19/England/MILK-B9530C/2020|2020-11-13|England	2020-11-13
EPI_ISL_804459|hCoV-19/Netherlands/NH-RIVM-10262/2020|2020-03-17|Netherlands	2020-03-17
EPI_ISL_831973|hCoV-19/Sweden/20-52771/2020|2020-08-02|Sweden	2020-08-02
